NAZIONALITA,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR,CITTA_PARTENZA,PAESE_PART,ZONA,ENTRATI,INVESTIGATI,ALLARMATI,TIPO_DOCUMENTO,GENERE,FASCIA_ETA,FLAG_TRANSITO,COMPAGNIA_AEREA,NUMERO_VOLO,ESITO_CONTROLLO,note_operatore,codice_rischio
alb,mxp,doh,2024-01-20 08:55:00,milano,doha,qatar,2,1,1,0,,,18-30,singola tratta,qatar airways,qr0127,in attesa,,
alb,blq,tia,2024-01-10 00:00:00,bologna,tirana,albania,8,134,134,22,visto,m,,singola tratta,wizz air malta,w46681,,,
alb,bri,tia,2024-02-14 20:55:00,bari,tirana,albania,9,17,17,3,carta d'identità,f,31-45,singola tratta,wizz air malta,w46647,,,
afg,bgy,kbl,2024-02-21 18:00:00,bergamo,kabul,afghanistan,2,1,1,0,,f,0-17,singola tratta,fly dubai,fz1571,segnalato,,r3
alb,cta,tia,2024-02-07 13:05:00,catania,tirana,albania,7,19,19,4,carta d'identità,m,31-45,singola tratta,wizz air malta,w46605,respinto,,
alb,mxp,mba,2024-02-15 11:20:00,milano,mombasa,kenya,2,1,1,1,,f,18-30,singola tratta,neos s.p.a.,no0347,in attesa,,
alb,fco,tia,2024-02-03 20:50:00,roma,tirana,albania,5,13,0,0,visto,f,31-45,singola tratta,wizz air malta,w46691,,,
alb,nap,tia,2024-02-27 12:10:00,napoli,tirana,albania,6,69,69,10,permesso di soggiorno,m,0-17,singola tratta,wizz air malta,w44825,fermato,,
alb,lin,tia,2024-01-11 05:35:00,milano,tirana,albania,2,1,0,5,carta d'identità,m,61+,singola tratta,ita airways,az0507,,,
alb,vrn,tia,2024-02-17 19:50:00,verona,tirana,albania,4,125,125,20,passaporto,f,31-45,singola tratta,wizz air malta,w43849,,,
alb,bgy,tia,2024-01-03 12:10:00,bergamo,tirana,albania,2,97,97,16,visto,m,46-60,singola tratta,wizz air malta,w43885,respinto,,
alb,blq,tia,2024-02-19 19:25:00,bologna,tirana,albania,8,88,88,23,visto,f,61+,singola tratta,ryanair dac,fr8399,fermato,,
alb,cta,tia,2024-01-09 19:30:00,catania,tirana,albania,7,34,34,4,passaporto,m,61+,singola tratta,ryanair dac,fr8370,segnalato,,
alb,blq,tia,2024-02-16 17:30:00,bologna,tirana,albania,8,1,1,0,,,46-60,singola tratta,air serbia,ju0554,segnalato,,
alb,mxp,dxb,2024-01-20 15:55:00,milano,dubai,emirati arabi uniti,2,6,6,1,passaporto,m,46-60,singola tratta,emirates,ek0091,ok,,
,fco,tas,2024-02-18 17:55:00,roma,tashkent,uzbekistan,5,1,1,0,carta d'identità,m,61+,singola tratta,turkish airlines,tk1863,,,
alb,psa,tia,2024-01-29 11:15:00,pisa,tirana,albania,8,145,145,28,,,0-17,singola tratta,wizz air malta,w43853,ok,,
and,cia,tia,2024-02-04 18:55:00,roma,tirana,albania,5,1,1,0,permesso di soggiorno,f,61+,singola tratta,ryanair dac,fr8420,fermato,,
alb,blq,stn,2024-02-03 17:00:00,bologna,londra,regno unito,8,2,2,1,,m,31-45,singola tratta,ryanair dac,fr1194,,,
alb,mxp,mia,2024-01-04 18:25:00,milano,miami,stati uniti,2,1,1,1,,f,46-60,singola tratta,united airlines,ua0019,respinto,,
,mxp,ssh,2024-01-16 19:20:00,milano,sharm el sheikh,egitto,2,1,1,2,carta d'identità,f,46-60,singola tratta,wizz air malta,w45608,,,
alb,vce,tia,2024-01-02 12:30:00,venezia,tirana,albania,4,59,59,17,carta d'identità,f,31-45,singola tratta,albawings,2b0225,fermato,,
alb,vce,lhr,2024-02-13 08:40:00,venezia,londra,regno unito,4,1,1,0,passaporto,f,18-30,singola tratta,british airways,ba0578,fermato,,
afg,fco,ika,2024-02-19 11:20:00,roma,tehran,iran,5,1,1,0,,m,18-30,singola tratta,turkish airlines,tk7660,segnalato,,
alb,bgy,tia,2024-01-06 12:10:00,bergamo,tirana,albania,2,98,98,28,passaporto,m,31-45,singola tratta,wizz air malta,w43885,ok,,
alb,mxp,tia,2024-01-02 06:20:00,milano,tirana,albania,2,88,88,22,,f,0-17,singola tratta,wizz air malta,w46607,segnalato,,
alb,vrn,lgw,2024-01-05 14:20:00,verona,londra,regno unito,4,1,1,1,carta d'identità,m,0-17,singola tratta,easyjet,u28335,respinto,,
alb,fco,kut,2024-01-27 06:00:00,roma,kutaisi,georgia,5,1,0,0,carta d'identità,m,,singola tratta,wizz air hungary,w66419,respinto,,
alb,mxp,tia,2024-01-09 18:30:00,milano,tirana,albania,2,104,104,16,carta d'identità,f,18-30,singola tratta,wizz air malta,w46629,in attesa,,
alb,nap,tia,2024-02-08 05:35:00,napoli,tirana,albania,6,1,1,0,visto,f,31-45,singola tratta,ita airways,az0507,,,
alb,fco,gyd,2024-02-06 23:15:00,roma,baku,azerbaigian,5,1,0,4,visto,m,46-60,singola tratta,wizz air malta,w48372,ok,,
alb,aoi,tia,2024-01-14 11:15:00,ancona,tirana,albania,8,71,71,9,,f,61+,singola tratta,wizz air malta,w43855,,,
