OCCORRENZE,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR_allarmi,CITTA_PARTENZA_allarmi,PAESE_PART_allarmi,ZONA_allarmi,TOT,MOTIVO_ALLARME,note_operatore_allarmi,flag_rischio,NAZIONALITA,CITTA_ARR_tip,CITTA_PARTENZA_tip,PAESE_PART_tip,ZONA_tip,ENTRATI,INVESTIGATI,ALLARMATI,TIPO_DOCUMENTO,GENERE,FASCIA_ETA,FLAG_TRANSITO,COMPAGNIA_AEREA,NUMERO_VOLO,ESITO_CONTROLLO,note_operatore_tip,codice_rischio
allarmi generati,mxp,auh,2024-01-01 00:00:00,milano,abu dhabi,emirati arabi uniti,2.0,28.0,interpol,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,lhr,2024-01-01 00:00:00,milano,londra,regno unito,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,mxp,wnz,2024-01-01 00:00:00,milano,wenzhou,cina,2.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,mxp,ist,2024-01-01 00:00:00,milano,istanbul,turchia,2.0,,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,mba,2024-01-01 00:00:00,milano,mombasa,kenya,2.0,329.0,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,lgw,2024-01-01 00:00:00,roma,londra,regno unito,5.0,1.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,bgy,shj,2024-01-01 00:00:00,bergamo,sharjah,emirati arabi uniti,2.0,2.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi chiusi,fco,alg,2024-01-01 00:00:00,roma,algeri,algeria,5.0,13.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,trs,stn,2024-01-01 00:00:00,trieste,londra,regno unito,4.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,bgy,ema,2024-01-01 00:00:00,bergamo,derby,regno unito,2.0,169.0,,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,dxb,2024-01-01 00:00:00,milano,dubai,emirati arabi uniti,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,trn,lgw,2024-01-01 00:00:00,torino,londra,regno unito,1.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,bgy,edi,2024-01-01 00:00:00,bergamo,edinburgh,regno unito,2.0,151.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,bzo,fab,2024-01-01 00:00:00,bolzano,farnborough,regno unito,4.0,0.0,interpol,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,kwi,2024-01-01 00:00:00,milano,kuwait city,kuwait,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,blq,ist,2024-01-01 00:00:00,bologna,istanbul,turchia,8.0,9.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,vce,lhr,2024-01-01 00:00:00,venezia,londra,regno unito,4.0,155.0,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,trn,brs,2024-01-01 00:00:00,torino,bristol,regno unito,1.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,vce,stn,2024-01-01 00:00:00,venezia,londra,regno unito,4.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli investigati,psa,tia,2024-01-01 00:00:00,pisa,tirana,albania,8.0,1.0,,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,psa,stn,2024-01-01 00:00:00,pisa,londra,regno unito,8.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
esito negativo,aoi,tia,2024-01-01 00:00:00,ancona,tirana,albania,8.0,28.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,mxp,ewr,2024-01-01 00:00:00,milano,newark,stati uniti,2.0,3.0,sdi,,,,,,,,,,,,,,,,,,,
voli investigati,fco,cai,2024-01-01 00:00:00,roma,cairo,egitto,5.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,ruh,2024-01-01 00:00:00,roma,riyadh,arabia saudita,5.0,129.0,,,,alb,roma,riyadh,arabia saudita,5.0,2.0,0.0,0.0,,m,46-60,singola tratta,wizz air malta,w48394,ok,,
voli disponibili,lin,lcy,2024-01-01 00:00:00,milano,londra,regno unito,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
esito negativo,mxp,man,2024-01-01 00:00:00,milano,manchester,regno unito,2.0,1.0,,verifica richiesta,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,lhr,2024-01-01 00:00:00,milano,londra,regno unito,2.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
allarmi generati,cta,tia,2024-01-01 00:00:00,catania,tirana,albania,7.0,9.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,mxp,ist,2024-01-01 00:00:00,milano,istanbul,turchia,2.0,168.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,blq,rak,2024-01-01 00:00:00,bologna,marrakech,marocco,8.0,146.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,goa,tia,2024-01-01 00:00:00,genova,tirana,albania,1.0,20.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,vce,stn,2024-01-01 00:00:00,venezia,londra,regno unito,4.0,92.0,,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,vce,lgw,2024-01-01 00:00:00,venezia,londra,regno unito,4.0,5.0,,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,trn,man,2024-01-01 00:00:00,torino,manchester,regno unito,1.0,7.0,sdi,,,,,,,,,,,,,,,,,,,
allarmi generati,vce,edi,2024-01-01 00:00:00,venezia,edinburgh,regno unito,4.0,5.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi generati,fco,kiv,2024-01-01 00:00:00,roma,chisinau,moldavia,5.0,14.0,manuale,,medio,,,,,,,,,,,,,,,,,
esito negativo,bri,stn,2024-01-01 00:00:00,bari,londra,regno unito,9.0,11.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,nap,lgw,2024-01-01 00:00:00,napoli,londra,regno unito,6.0,115.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,cta,cmn,2024-01-01 00:00:00,catania,casablanca,marocco,7.0,141.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,blq,saw,2024-01-01 00:00:00,bologna,istanbul,turchia,8.0,212.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,bri,tia,2024-01-01 00:00:00,bari,tirana,albania,9.0,150.0,sdi,,,alb,bari,tirana,albania,9.0,62.0,62.0,7.0,permesso di soggiorno,f,0-17,singola tratta,wizz air malta,w46601,,,
allarmi chiusi,fco,rak,2024-01-01 00:00:00,roma,marrakech,marocco,5.0,33.0,,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,jed,2024-01-01 00:00:00,roma,jeddah,arabia saudita,5.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,bgy,lgw,2024-01-01 00:00:00,bergamo,londra,regno unito,2.0,,,,,,,,,,,,,,,,,,,,,
allarmi generati,fco,gru,2024-01-01 00:00:00,roma,san paolo,brasile,5.0,7.0,interpol,,,,,,,,,,,,,,,,,,,
voli investigati,trn,tia,2024-01-01 00:00:00,torino,tirana,albania,1.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli investigati,mxp,jfk,2024-01-01 00:00:00,milano,new york,stati uniti,2.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,szx,2024-01-01 00:00:00,milano,shenzhen,cina,2.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,bgy,rak,2024-01-01 00:00:00,bergamo,marrakech,marocco,2.0,185.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,amm,2024-01-01 00:00:00,roma,amman,giordania,5.0,,,,,alb,roma,amman,giordania,5.0,2.0,0.0,0.0,permesso di soggiorno,f,31-45,singola tratta,wizz air malta,w48310,in attesa,,
viaggiatori investigati,fco,tlv,2024-01-01 00:00:00,roma,tel aviv yafo,israele,5.0,172.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,doh,2024-01-01 02:30:00,roma,doha,qatar,5.0,115.0,tsc,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,alg,2024-01-01 05:25:00,roma,algeri,algeria,5.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli disponibili,cia,rak,2024-01-01 05:45:00,roma,marrakech,marocco,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli con allarmi,cia,rak,2024-01-01 05:45:00,roma,marrakech,marocco,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
esito negativo,cia,rak,2024-01-01 05:45:00,roma,marrakech,marocco,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi generati,mxp,tia,2024-01-01 06:20:00,milano,tirana,albania,2.0,21.0,nsis,,,alb,milano,tirana,albania,2.0,133.0,133.0,17.0,passaporto,,0-17,singola tratta,wizz air malta,w46607,segnalato,,
voli con allarmi,vrn,lgw,2024-01-01 06:30:00,verona,londra,regno unito,4.0,1.0,,,,alb,verona,londra,regno unito,4.0,1.0,1.0,0.0,,,61+,singola tratta,british airways,ba2590,ok,,
viaggiatori con allarmi,fco,lgw,2024-01-01 06:40:00,roma,londra,regno unito,5.0,2.0,interpol,,,,,,,,,,,,,,,,,,,
voli disponibili,trn,tia,2024-01-01 06:55:00,torino,tirana,albania,1.0,1.0,tsc,,,alb,torino,tirana,albania,1.0,117.0,117.0,15.0,,m,18-30,singola tratta,wizz air malta,w46603,,,
voli disponibili,mxp,beg,2024-01-01 07:00:00,milano,belgrado,serbia,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi generati,mxp,lgw,2024-01-01 07:05:00,milano,londra,regno unito,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi rilevanti,vce,man,2024-01-01 07:45:00,venezia,manchester,regno unito,4.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi generati,fco,tun,2024-01-01 07:55:00,roma,tunis,tunisia,5.0,13.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,blq,tun,2024-01-01 08:00:00,bologna,tunis,tunisia,8.0,87.0,,,,,,,,,,,,,,,,,,,,
voli disponibili,psa,lhr,2024-01-01 08:00:00,pisa,londra,regno unito,8.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,psa,lhr,2024-01-01 08:00:00,pisa,londra,regno unito,8.0,46.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,psa,lhr,2024-01-01 08:00:00,pisa,londra,regno unito,8.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli con allarmi,trn,lgw,2024-01-01 08:10:00,torino,londra,regno unito,1.0,1.0,,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,tia,2024-01-01 08:20:00,roma,tirana,albania,5.0,1.0,interpol,,,alb,roma,tirana,albania,5.0,115.0,115.0,11.0,,m,18-30,singola tratta,wizz air malta,w46116,in attesa,,
viaggiatori investigati,mxp,doh,2024-01-01 08:55:00,milano,doha,qatar,2.0,233.0,,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,ist,2024-01-01 09:15:00,roma,istanbul,turchia,5.0,1.0,,,,,,,,,,,,,,,,,,,,
esito negativo,blq,ist,2024-01-01 09:25:00,bologna,istanbul,turchia,8.0,22.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,vce,dxb,2024-01-01 09:35:00,venezia,dubai,emirati arabi uniti,4.0,234.0,sdi,,,,,,,,,,,,,,,,,,,
voli investigati,mxp,cai,2024-01-01 09:35:00,milano,cairo,egitto,2.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
esito negativo,fco,cai,2024-01-01 10:00:00,roma,cairo,egitto,5.0,6.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,cai,2024-01-01 10:00:00,milano,cairo,egitto,2.0,155.0,nsis,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,pmo,tun,2024-01-01 10:30:00,palermo,tunis,tunisia,7.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,nap,tia,2024-01-01 10:30:00,napoli,tirana,albania,6.0,16.0,sdi,,,,napoli,tirana,albania,6.0,71.0,71.0,9.0,,m,0-17,singola tratta,wizz air malta,w44825,segnalato,,
viaggiatori entrati,pmo,tun,2024-01-01 10:30:00,palermo,tunisi,tunisia,7.0,38.0,nsis,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,bhx,2024-01-01 10:45:00,milano,birmingham,regno unito,2.0,1.0,tsc,,,alb,milano,birmingham,regno unito,2.0,1.0,1.0,1.0,,m,61+,singola tratta,easyjet europe,ec3834,,,
voli investigati,psa,brs,2024-01-01 10:55:00,pisa,bristol,regno unito,8.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,spx,2024-01-01 11:05:00,roma,giza,egitto,5.0,1.0,,,,alb,roma,giza,egitto,5.0,4.0,4.0,0.0,visto,m,31-45,singola tratta,wizz air malta,w48524,respinto,,
esito negativo,blq,tia,2024-01-01 11:15:00,bologna,tirana,albania,8.0,35.0,tsc,,,alb,bologna,tirana,albania,8.0,,,,visto,f,46-60,singola tratta,wizz air malta,w43877,,,r3
viaggiatori entrati,blq,tia,2024-01-01 11:15:00,bologna,tirana,albania,8.0,178.0,manuale,,,alb,bologna,tirana,albania,8.0,,,,visto,f,46-60,singola tratta,wizz air malta,w43877,,,r3
allarmi generati,psa,tia,2024-01-01 11:20:00,pisa,tirana,albania,8.0,37.0,sdi,,,alb,pisa,tirana,albania,8.0,101.0,101.0,25.0,passaporto,f,46-60,singola tratta,wizz air malta,w43853,in attesa,,
voli investigati,flr,lcy,2024-01-01 11:25:00,firenze,londra,regno unito,8.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli con allarmi,vce,brs,2024-01-01 11:40:00,venezia,bristol,regno unito,4.0,1.0,interpol,,,alb,venezia,bristol,regno unito,4.0,5.0,5.0,0.0,passaporto,f,0-17,singola tratta,ryanair dac,fr1361,in attesa,,
allarmi generati,cta,ssh,2024-01-01 11:40:00,catania,sharm el sheikh,egitto,7.0,11.0,manuale,,,,,,,,,,,,,,,,,,,
altro,bgy,stn,2024-01-01 11:45:00,bergamo,londra,regno unito,2.0,,manuale,,,,,,,,,,,,,,,,,,,
allarmi rilevanti,aoi,tia,2024-01-01 12:00:00,ancona,tirana,albania,8.0,16.0,tsc,,,,ancona,tirana,albania,8.0,50.0,50.0,8.0,permesso di soggiorno,m,18-30,singola tratta,albawings,2b0195,segnalato,,
esito negativo,mxp,spx,2024-01-01 12:05:00,milano,giza,egitto,2.0,34.0,interpol,,,,,,,,,,,,,,,,,,,
voli con allarmi,cia,tia,2024-01-01 12:15:00,roma,tirana,albania,5.0,1.0,nsis,,,alb,roma,tirana,albania,5.0,70.0,70.0,12.0,carta d'identità,f,46-60,singola tratta,ryanair dac,fr8320,segnalato,,
voli disponibili,mxp,edi,2024-01-01 13:00:00,milano,edinburgh,regno unito,2.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,pek,2024-01-01 13:25:00,roma,pechino,cina,5.0,216.0,tsc,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,mle,2024-01-01 13:25:00,roma,male,maldive,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli investigati,vce,brs,2024-01-01 13:40:00,venezia,bristol,regno unito,4.0,1.0,sdi,,,alb,venezia,bristol,regno unito,4.0,5.0,5.0,0.0,passaporto,f,0-17,singola tratta,ryanair dac,fr1361,in attesa,,
voli investigati,bgy,cmn,2024-01-01 13:50:00,bergamo,casablanca,marocco,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,bey,2024-01-01 14:00:00,roma,beirut,libano,5.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,lin,lhr,2024-01-01 15:00:00,milano,londra,regno unito,2.0,7.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,psa,tia,2024-01-01 15:15:00,pisa,tirana,albania,8.0,171.0,sdi,,,alb,pisa,tirana,albania,8.0,75.0,75.0,12.0,passaporto,f,31-45,singola tratta,wizz air malta,w46649,respinto,,
voli investigati,fco,gig,2024-01-01 15:45:00,roma,rio de janeiro,brasile,5.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,cta,tia,2024-01-01 17:00:00,catania,tirana,albania,7.0,138.0,,,,alb,catania,tirana,albania,7.0,18.0,18.0,2.0,,m,61+,singola tratta,wizz air malta,w46688,fermato,,
viaggiatori investigati,nap,stn,2024-01-01 17:25:00,napoli,londra,regno unito,6.0,175.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,fco,iad,2024-01-01 17:45:00,roma,washington,stati uniti,5.0,2.0,,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,fco,iad,2024-01-01 17:45:00,roma,washington,stati uniti,5.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,atl,2024-01-01 17:50:00,milano,atlanta,stati uniti,2.0,205.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,cai,2024-01-01 17:55:00,roma,cairo,egitto,5.0,0.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,mxp,beg,2024-01-01 18:00:00,milano,belgrado,serbia,2.0,4.0,,,,,,,,,,,,,,,,,,,,
voli investigati,vce,edi,2024-01-01 18:05:00,venezia,edinburgh,regno unito,4.0,1.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,vce,edi,2024-01-01 18:05:00,venezia,edinburgh,regno unito,4.0,8.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,trn,bhx,2024-01-01 18:15:00,torino,birmingham,regno unito,1.0,123.0,tsc,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,jfk,2024-01-01 18:19:00,milano,new york,stati uniti,2.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,cia,stn,2024-01-01 18:30:00,roma,londra,regno unito,5.0,0.0,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,nap,ssh,2024-01-01 18:55:00,napoli,sharm el sheikh,egitto,6.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,stn,2024-01-01 19:05:00,milano,londra,regno unito,2.0,1.0,,,,alb,milano,londra,regno unito,2.0,3.0,3.0,1.0,visto,f,46-60,singola tratta,ryanair dac,fr8719,,,
allarmi chiusi,cia,tia,2024-01-01 19:45:00,roma,tirana,albania,5.0,19.0,interpol,,,alb,roma,tirana,albania,5.0,59.0,59.0,7.0,carta d'identità,m,0-17,singola tratta,ryanair dac,fr8360,ok,,
allarmi generati,blq,kiv,2024-01-01 20:00:00,bologna,chisinau,moldavia,8.0,20.0,tsc,,,alb,bologna,chisinau,moldavia,8.0,1.0,1.0,0.0,,f,46-60,singola tratta,hisky europe,h40485,respinto,,
voli investigati,mxp,jfk,2024-01-01 20:45:00,milano,new york,stati uniti,2.0,1.0,sdi,,,alb,milano,new york,stati uniti,2.0,1.0,1.0,0.0,permesso di soggiorno,f,46-60,singola tratta,ita airways,az0605,segnalato,,
allarmi generati,bds,tia,2024-01-01 21:00:00,brindisi,tirana,albania,9.0,11.0,nsis,,,alb,brindisi,tirana,albania,9.0,34.0,34.0,2.0,visto,f,,singola tratta,wizz air malta,w44817,,,
viaggiatori entrati,mxp,ewr,2024-01-01 21:50:00,milano,newark,stati uniti,2.0,31.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,amm,2024-01-01 23:00:00,roma,amman,giordania,5.0,146.0,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,tpe,2024-01-01 23:05:00,milano,taipei,taiwan,2.0,1.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,flr,tia,2024-01-02 00:00:00,firenze,tirana,albania,8.0,20.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,lin,lhr,2024-01-02 00:00:00,milano,londra,regno unito,2.0,3.0,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,add,2024-01-02 00:15:00,milano,addis ababa,etiopia,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
esito negativo,fco,sin,2024-01-02 02:05:00,roma,singapore,singapore,5.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,cai,2024-01-02 04:30:00,roma,cairo,egitto,5.0,0.0,interpol,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,beg,2024-01-02 05:30:00,roma,belgrado,serbia,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,trn,rak,2024-01-02 05:45:00,torino,marrakech,marocco,1.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
allarmi chiusi,trn,rak,2024-01-02 05:45:00,torino,marrakech,marocco,1.0,29.0,tsc,,,,,,,,,,,,,,,,,,,
voli investigati,suf,stn,2024-01-02 06:00:00,lamezia terme,londra,regno unito,6.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,tlv,2024-01-02 06:10:00,roma,tel aviv yafo,israele,5.0,,,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,tlv,2024-01-02 06:10:00,roma,tel aviv yafo,israele,5.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,bgy,edi,2024-01-02 06:15:00,bergamo,edinburgh,regno unito,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli investigati,blq,rak,2024-01-02 06:45:00,bologna,marrakech,marocco,8.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi chiusi,trs,stn,2024-01-02 06:45:00,trieste,londra,regno unito,4.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli investigati,fco,gla,2024-01-02 06:55:00,roma,glasgow,regno unito,5.0,1.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,trn,tia,2024-01-02 06:55:00,torino,tirana,albania,1.0,34.0,nsis,,,alb,torino,tirana,albania,1.0,103.0,103.0,21.0,carta d'identità,f,0-17,singola tratta,wizz air malta,w46603,segnalato,,
viaggiatori entrati,fco,gla,2024-01-02 06:55:00,roma,glasgow,regno unito,5.0,173.0,,,,,,,,,,,,,,,,,,,,
voli con allarmi,bgy,cmn,2024-01-02 07:00:00,bergamo,casablanca,marocco,2.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,cuf,cmn,2024-01-02 07:00:00,cuneo,casablanca,marocco,1.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,lgw,2024-01-02 07:05:00,milano,londra,regno unito,2.0,137.0,nsis,,,alb,milano,londra,regno unito,2.0,3.0,3.0,1.0,,f,0-17,singola tratta,wizz air malta,w45785,,,
viaggiatori investigati,fco,beg,2024-01-02 07:15:00,roma,belgrado,serbia,5.0,157.0,sdi,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,olb,fab,2024-01-02 07:29:00,olbia,farnborough,regno unito,5.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli investigati,cta,lgw,2024-01-02 07:30:00,catania,londra,regno unito,7.0,1.0,,,,,,,,,,,,,,,,,,,,
esito negativo,cta,lgw,2024-01-02 07:30:00,catania,londra,regno unito,7.0,7.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,cta,lgw,2024-01-02 07:30:00,catania,londra,regno unito,7.0,,nsis,,,,,,,,,,,,,,,,,,,
voli disponibili,blq,stn,2024-01-02 08:00:00,bologna,londra,regno unito,8.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,blq,stn,2024-01-02 08:00:00,bologna,londra,regno unito,8.0,178.0,manuale,,,,,,,,,,,,,,,,,,,
